"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QRYUNFFF","conferencePaper","2012","Šupica, Žaklina; Pavić, Tomislav","Data ownership model for a telecom company","2012 Proceedings of the 35th International Convention MIPRO","","","","https://ieeexplore.ieee.org/document/6240896","Having in mind that data constitute the key asset of every company, it is necessary to define the owners of that asset. This paper proposes a model for clear determination of data ownership in information systems. Our intention is to show that there is an utmost need and practical possibility for formal definition of data ownership, including the clear definition of owners' responsibilities which are acceptable by all data owners. Model is based on enterprise architecture units called domains and smaller units called functional components. Applied domain model divide the complete business of a telecommunication company in to 12 domains where each domain represents a “natural” unit with clear responsibilities and competencies structured according to the business aspects. Although data ownership comprises several important responsibilities, approach taken in this paper is manly in respect to authorization of user access to data and validation of approved access. We propose to determine of which functional components information or network system is consistent of and that each functional component has to have an owner assigned. Owner of functional components becomes data owner of the applications which implements that functionality due to the fact that each functional component has its own data.","2012-05","2023-11-22 17:11:16","2023-11-22 17:11:16","2023-11-22 17:11:16","1534-1538","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012 Proceedings of the 35th International Convention MIPRO","","","","","","","","","","","","","","",""
"8LLAQ2BG","conferencePaper","2016","Thongtanunam, Patanamon; McIntosh, Shane; Hassan, Ahmed E.; Iida, Hajimu","Revisiting Code Ownership and Its Relationship with Software Quality in the Scope of Modern Code Review","2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE)","","","10.1145/2884781.2884852","https://ieeexplore.ieee.org/document/7886978","Code ownership establishes a chain of responsibility for modules in large software systems. Although prior work uncovers a link between code ownership heuristics and software quality, these heuristics rely solely on the authorship of code changes. In addition to authoring code changes, developers also make important contributions to a module by reviewing code changes. Indeed, recent work shows that reviewers are highly active in modern code review processes, often suggesting alternative solutions or providing updates to the code changes. In this paper, we complement traditional code ownership heuristics using code review activity. Through a case study of six releases of the large Qt and OpenStack systems, we find that: (1) 67%-86% of developers did not author any code changes for a module, but still actively contributed by reviewing 21%-39% of the code changes, (2) code ownership heuristics that are aware of reviewing activity share a relationship with software quality, and (3) the proportion of reviewers without expertise shares a strong, increasing relationship with the likelihood of having post-release defects. Our results suggest that reviewing activity captures an important aspect of code ownership, and should be included in approximations of it in future studies.","2016-05","2023-11-22 17:11:42","2023-11-22 17:11:42","2023-11-22 17:11:42","1039-1050","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1558-1225","","C:\Users\DELL\Zotero\storage\GN62AXM5\7886978.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE)","","","","","","","","","","","","","","",""
"WWYW5HTE","conferencePaper","1994","Rahaim, P.T.","The cost of ownership","Proceedings of 1994 IEEE/SEMI Advanced Semiconductor Manufacturing Conference and Workshop (ASMC)","","","10.1109/ASMC.1994.588241","https://ieeexplore.ieee.org/document/588241","IBM's semiconductor manufacturing facility in Essex Junction, Vermont, uses a ""cost-of-ownership"" (COO) program to analyze every operation in its production lines. With a customized COO modeling program, we can determine the cost for each manufacturing operation. Pareto data analyses can highlight key areas where improvements can be most beneficial; the data gives the cost of various items, listed from the highest to lowest cost and the percentage value of each item. This modeling program has been vary helpful and enlightening. It not only identifies the major items significantly increasing costs, but also quantifies the impact each change or improvement will have on individual operations. The methodology of this program has enabled us to drive down the cast of our semiconductor products while maintaining a high degree of quality and reliability. Information obtained from the COO program is being used to select future products for the IBM Microelectronics product menu.","1994-11","2023-11-22 17:12:24","2023-11-22 17:12:24","2023-11-22 17:12:24","186-188","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\DELL\Zotero\storage\9C3QYG82\588241.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of 1994 IEEE/SEMI Advanced Semiconductor Manufacturing Conference and Workshop (ASMC)","","","","","","","","","","","","","","",""
"CDEBHNEB","journalArticle","2023","Cai, Ting; Hong, Zicong; Liu, Shuo; Chen, Wuhui; Zheng, Zibin; Yu, Yang","SocialChain: Decoupling Social Data and Applications to Return Your Data Ownership","IEEE Transactions on Services Computing","","1939-1374","10.1109/TSC.2021.3128959","https://ieeexplore.ieee.org/document/9619936","Social data produced from widely emerged social media activities are expected to promote information dissemination and engagement, or even make business intelligence more powerful. However, the recent increase in social media incidents of illegal surveillance and data breaches raises questions about the current data ownership model, in which centralized applications collect and control large amounts of user data. In this article, we present SocialChain, which is a decentralized social data storage and sharing system based on blockchain that decouples user data and social applications to return data ownership to the user. We adopt Personal Data Store to extend off-chain storage for the social data, set up an identity establishment mechanism that can support WebID-based authentication functions using a unique identity assignment (i.e., WebID) as well as certificateless cryptography, and design a general framework that leverages smart contracts to help securely store and share social data in an automated manner. We develop a software prototype based on Ethereum and conduct case studies to test the effects of the adopted techniques on the performance. Experimental results show that SocialChain can provide easy-to-use interfaces while introducing relatively low latency, cost, and overhead and that it can support real-world social media applications.","2023-01","2023-11-22 17:13:07","2023-11-22 17:13:07","2023-11-22 17:13:07","600-614","","1","16","","","SocialChain","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Services Computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XM6VKCL","journalArticle","2021","Hummel, Patrik; Braun, Matthias; Dabrock, Peter","Own Data? Ethical Reflections on Data Ownership","Philosophy & Technology","","2210-5441","10.1007/s13347-020-00404-9","https://doi.org/10.1007/s13347-020-00404-9","In discourses on digitization and the data economy, it is often claimed that data subjects shall be owners of their data. In this paper, we provide a problem diagnosis for such calls for data ownership: a large variety of demands are discussed under this heading. It thus becomes challenging to specify what—if anything—unites them. We identify four conceptual dimensions of calls for data ownership and argue that these help to systematize and to compare different positions. In view of this pluralism of data ownership claims, we introduce, spell out and defend a constructive interpretative proposal: claims for data ownership are charitably understood as attempts to call for the redistribution of material resources and the socio-cultural recognition of data subjects. We argue that as one consequence of this reading, it misses the point to reject claims for data ownership on the grounds that property in data does not exist. Instead, data ownership brings to attention a claim to renegotiate such aspects of the status quo.","2021-09-01","2023-11-22 17:13:16","2023-11-22 17:13:16","2023-11-22 17:13:16","545-572","","3","34","","Philos. Technol.","Own Data?","","","","","","","en","","","","","Springer Link","","","","C:\Users\DELL\Zotero\storage\2TX4569V\Hummel et al. - 2021 - Own Data Ethical Reflections on Data Ownership.pdf","","","Alienability; Data ownership; Participation; Property; Recognition; Redistribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BYBVHUF6","conferencePaper","2020","","Data as Counter-Performance - Contract Law 2.0?","","978-3-8487-7606-1 978-3-7489-0853-1","","10.5771/9783748908531","https://www.nomos-elibrary.de/10.5771/9783748908531/data-as-counter-performance-contract-law-2-0?page=1","Wissenschaftler und Praktiker aus mehreren europäischen Ländern befassen sich in dem Band mit den vertragsrechtlichen Konsequenzen, die sich daraus ergebe…","2020-07-08","2023-11-22 17:15:49","2023-11-22 17:15:49","2023-11-22 17:15:49","","","","","","","","","","","","Nomos Verlagsgesellschaft mbH & Co. KG","","en","","","","","www.nomos-elibrary.de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Data as Counter-Performance - Contract Law 2.0?","","","","","","","","","","","","","","",""
"YB6WQ6U4","webpage","","","A secure minimalist RFID authentication and an ownership transfer protocol compliant to EPC C1G2 | IEEE Conference Publication | IEEE Xplore","","","","","https://ieeexplore.ieee.org/abstract/document/7379806","","","2023-11-22 17:16:01","2023-11-22 17:16:01","2023-11-22 17:16:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LT3LQYRC","preprint","2019","Singh, Parminder Jeet","Data and Digital Intelligence Commons (Making a Case for their Community Ownership)","","","","10.2139/ssrn.3873169","https://papers.ssrn.com/abstract=3873169","Digital technologies once held the promise to be a great equalizer. As a digital economy takes shape, global inequalities however are rising sharply. Vertically integrated global digital corporations are set to rule every sector of the economy based on their exclusive control over its data, further concentrating economic power. There exists a political paralysis over regulation of such digital corporations. Any shift in the dominant digital model and practices towards greater fairness and sustainability requires first of all an examination of the political economy of data, and the digital intelligence that it contributes. Policy makers around the world are evidently becoming eager to explore ways for wide data sharing, with a view to its easy availability for domestic businesses.But there is a dearth of understanding and political will at the highest levels to develop the required new policies and laws for this purpose, as well as of viable practical models for data sharing. Very little theoretical work explores alternative models for economic governance of data. This paper attempts some new directions in this regard.The digital economy can be understood as comprising intelligent systems running whole sectors, employing data based digital intelligence to re-organize and coordinate them. Within such a macro understanding, it is possible to apply the framework of Institutional Analysis and Development (IAD) developed by Elinor Ostrom to examine the management of data and digital intelligence resources at the community level in a given sector, like transport, under the dominant model. Such an analysis reveals very suboptimal results on almost all the key IAD evaluation parameters; from efficiency and equity to accountability and sustainability. The paper then proposes treating data and digital intelligence as common pool resources, under common property regimes.It briefly considers the kind of data governance arrangements that may be possible and necessary for a robust and fair digital economy. The discussion also subsumes key contemporary data related issues like the contestations around free global flows of data and the data rights of platform dependent actors, like taxi drivers and traders.","2019-11-01","2023-11-22 17:17:23","2023-11-22 17:17:23","2023-11-22 17:17:23","","","","","","","","","","","","","Rochester, NY","en","","SSRN Scholarly Paper","","","Social Science Research Network","","","","C:\Users\DELL\Zotero\storage\EKWXHVS8\Singh - 2019 - Data and Digital Intelligence Commons (Making a Ca.pdf","","","Data Commons; Data Governance; Digital Economy; Elinor Ostrom; Platform Economy","","","","","","","","","","","","","","","","","","","3873169","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7AP4F4N","preprint","2018","Banterle, Francesco","Ownership of Inventions Created by Artificial Intelligence","","","","","https://papers.ssrn.com/abstract=3276702","The recent development of Artificial Intelligence (AI) brings with it the promise of future technological innovations developed independently by intelligent computational systems. In the patent field, the advent of the AI in the inventive process questions the subjective/human state of the inventor. In particular, it is discussed whether, and to whom, the objects created by the AI can belong. And even if, due to their non-human origin, they are worthy of protection. This work aims to carry out a first reconnaissance of how the ownership regime of patentable inventions, under the Italian legislation and the European Patent Convention, can apply to AI's inventions. The analysis concludes that the existing patent system, at least in principle, is compatible with computational inventions, although it does not allow their patentability, at least at a procedural level. It is therefore necessary to consider an interpretative evolution, in particular by consolidating the transition from an inventor-centric system to an investment protection system. Finally, the article proposes some interpretative solutions to reconcile the patent system with the development of computational inventions.","2018-11-01","2023-11-22 17:17:36","2023-11-22 17:17:36","2023-11-22 17:17:36","","","","","","","","","","","","","Rochester, NY","en","","SSRN Scholarly Paper","","","Social Science Research Network","","","","C:\Users\DELL\Zotero\storage\N83GT49V\Banterle - 2018 - Ownership of Inventions Created by Artificial Inte.pdf","","","Artificial Intelligence; Patent Ownership","","","","","","","","","","","","","","","","","","","3276702","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q99EGTZ2","journalArticle","2004","Lee, J.; Win, H. N.","Technology transfer between university research centers and industry in Singapore","Technovation","","0166-4972","10.1016/S0166-4972(02)00101-3","https://www.sciencedirect.com/science/article/pii/S0166497202001013","University research center is one of the most attractive external sources of technology for the industry. In an industrialized country, there exists a strong linkage between university and industry to facilitate the exchange of technology. This paper attempts to identify the different modes of technology transfer at university research centers. The authors reviewed and compared technology transfer activities of three university research centers in Singapore. Comparing three research centers according to their activities and performances in technology transfer, it can be seen that higher the commitment in motivating industry to participate in technology transfer projects, the more successful the technology transfer practices become. Among different technology transfer mechanisms, joint R&D project is an efficient way to ensure high commitment of industry and increase the transferability and willingness to industry. The role of the government is also critical for successful relationship between research centers and industry, to assist the research centers and provide the funding and other resources.","2004-05-01","2023-11-22 17:18:12","2023-11-22 17:18:12","2023-11-22 17:18:12","433-442","","5","24","","Technovation","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\DELL\Zotero\storage\NY7JYV3A\S0166497202001013.html","","","Technology transfer; Transfer mechanism; University research center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XYHM3X3","book","2013","Kirk, Colleen; Swain, Scott","TOUCHING THE INTANGIBLE: PERCEPTIONS OF INTERACTIVITY AND OWNERSHIP IN NEW MEDIA","","","","","","In the service-dominant logic literature, product customization is viewed as a way for consumers to create value for themselves (Vargo and Lusch 2004), and has been shown to impact consumers' appraisal of value beyond simply increased preference fit (Franke, Schreier, and Kaiser 2010; Fuchs, Prandelli, and Schreier 2010). Extending this perspective to new media such as digital books and social media websites, interactivity can be thought of as a form of customization as it allows con-sumers to modify their exposures and experiences in ways not possible in more static digital environments (Liu and Shrum 2002). In this research we draw upon the notion of interactivity-as-customization as well as psychological ownership theory to address two unresolved issues in the literature. First, we note that consumer perceptions of new media interactivity are not well-predicted by the number or nature of available interactive features (Voorveld, Neijens, and Smit 2011). We propose that this may reflect heterogeneity in consumers' optimum stimu-lation level (OSL) since OSL is a major determinant of consumer responses in exploratory environments (Steenkamp 2011). Second, whereas much research has attempted to understand the drivers and dimensions of perceived interactivity, significantly less attention has been paid to understanding when and how perceived interactivity results in greater ""value in use"" (Vargo and Lusch 2004:7) and thus greater willingness to pay (WTP). We propose that the process of perceiving interactivity is a cognitive analogue of touching, manipulating, and customizing a product and that this process drives posi-tive affect, feelings of accomplishment, psychological ownership and ultimately, WTP. In this way, perceived interactivity plays a critical role in consumers' co-cre-ation of value during usage.","2013-02-15","2023-11-22 17:46:48","2023-11-22 17:46:48","","","","","","","","TOUCHING THE INTANGIBLE","","","","","","","","","","","","ResearchGate","","","","","https://www.researchgate.net/publication/269574180_TOUCHING_THE_INTANGIBLE_%20PERCEPTIONS_OF_INTERACTIVITY_AND_OWNERSHIP_IN_NEW_MEDIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y3HH5M46","journalArticle","1991","Rudmin, Floyd","""To own is to be perceived to own"": A social cognitive look at the ownership of property","Journal of Social Behavior and Personality","","","","","","1991-12-01","2023-11-22 17:48:05","2023-11-22 17:48:05","","85-104","","","6","","Journal of Social Behavior and Personality","""To own is to be perceived to own""","","","","","","","","","","","","ResearchGate","","","","","https://www.researchgate.net/publication/285115986_To_own_is_to_be_perceived_to_o%20wn_A_social_cognitive_look_at_the_ownership_of_property","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53E46TYQ","journalArticle","2011","Lee, Younghwa; Chen, Andrew N. K.","Usability Design and Psychological Ownership of a Virtual World","Journal of Management Information Systems","","0742-1222","10.2753/MIS0742-1222280308","https://doi.org/10.2753/MIS0742-1222280308","Virtual worlds, immersive three-dimensional virtual spaces where users interact with projected identities of other users (avatars) and objects, are becoming increasingly popular and continue to grow as highly interactive, collaborative, and commercial cyberspaces. However, extant research in this context has not paid much attention to usability design of a virtual world and corresponding effects on users' psychological desire to own and control the space and objects within it and subsequent behavior intention. In this study, we apply concepts of Web site usability and psychological ownership to develop a model that illustrates the relationships between seven usability factors (legibility, firmness, coherence, variety, mystery, classic, and expressive visual aesthetics), four antecedents of psychological ownership (cognitive appraisals, perceived control, affective appraisals, and self-investment), psychological ownership, and use intention. A cross-sectional study with 239 Second Life users was conducted. The results demonstrate that designing a usable virtual world that induces strong psychological ownership is crucial to attract users to spend more time, participate in more activities, and revisit the virtual world. This is an important finding for forward-looking e-business managers looking to invest their limited resources in designing a usable virtual world. In addition, by using our model and corresponding survey items, designers can benchmark and evaluate the usability of their current virtual worlds, compare the results to the designs of competitors, and upgrade the offerings of virtual worlds, as needed, by allocating available resources to the most influential design factors to suit their specific needs.","2011-12-01","2023-11-22 17:48:17","2023-11-22 17:48:17","2023-11-22 17:48:17","269-308","","3","28","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.2753/MIS0742-1222280308","","","","","architectural quality model; human-computer interaction; landscape preference model; psychological ownership; usability; virtual worlds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNAFGJ4P","journalArticle","2010","Pierce, Jon L.; Jussila, Iiro","Collective psychological ownership within the work and organizational context: Construct introduction and elaboration","Journal of Organizational Behavior","","1099-1379","10.1002/job.628","https://onlinelibrary.wiley.com/doi/abs/10.1002/job.628","The construct collective psychological ownership is introduced. Reflecting the psychology of “us” and “ours,” collective psychological ownership emerges through interactive dynamics whereby individuals come to a single and shared mind-set as it relates to a sense of ownership for a particular object. After providing a conceptual definition for the construct, we turn our attention to a detailed elaboration of the construct, offering comments on its genesis, emergent context, underlying motives, and a discussion of what can and cannot be owned. We also provide a discussion of the dynamics associated with its formation, highlighting the paths down which groups travel that influence the emergence of this psychological state. Next, we turn our attention to the emergence of collective psychological ownership within the organizational and teamwork context paying particular attention to the role of work environment structure. We conclude with a discussion of a set of work-related attitudinal, motivational, behavioral, and stress-related outcomes that stem from this psychological state. Copyright © 2009 John Wiley & Sons, Ltd.","2010","2023-11-22 17:48:41","2023-11-22 17:48:41","2023-11-22 17:48:41","810-834","","6","31","","","Collective psychological ownership within the work and organizational context","","","","","","","en","Copyright © 2009 John Wiley & Sons, Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/job.628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
